imdbId,title,releaseYear,releaseDate,genre,writers,actor_id,actors,director_id,directors,sequel,hitFlop
tt0118578,Albela,2001,20-Apr-01,Romance,Honey Irani (screenplay) | Honey Irani (story) | Javed Siddiqui (dialogue),373,Aamir Khan,1,Rajkumar Hirani,0,2
tt0169102,Lagaan: Once Upon a Time in India,2001,8-May-02,Adventure | Drama | Musical,Ashutosh Gowariker (story) | Ashutosh Gowariker (screenplay) | Kumar Dave (screenplay) | Sanjay Dayma (screenplay) | K.P. Saxena (dialogue),374,Shah Rukh Khan,2,Farah Khan,0,6
tt0187279,Meri Biwi Ka Jawab Nahin,2004,2-Jul-04,Action | Comedy,N/A,375,Salman Khan,3,Karan Johar,0,1
tt0222024,Hum Tumhare Hain Sanam,2002,24-May-02,Drama | Romance,K.S. Adiyaman | Arun Kumar (assistant dialogue) | Ashok Mehta (assistant dialogue) | Reema Rakesh Nath (dialogue),376,Katrina Kaif,4,Sajid Khan,0,4
tt0227194,One 2 Ka 4,2001,30-Mar-01,Action | Comedy | Drama,Sanjay Chhel | Raaj Kumar Dahima (screenplay) | Manoj Lalwani (screenplay),377,Deepika Padukone,5,Rohit Shetty,0,1
tt0238936,Devdas,2002,12-Jul-02,Musical | Romance,Saratchandra Chatterjee (based on the novel by) | Prakash Kapadia (screenplay) | Sanjay Leela Bhansali (screenplay) | Prakash Kapadia (dialogue),378,Hrithik Roshan,6,Kabir Khan,0,6
tt0247911,Aap Mujhe Achche Lagne Lage,2002,19-Apr-02,Action | Drama | Romance,Robin Bhatt (story) | Girish Dhamija (dialogue) | Sanjeev Duggal (story),379,Priyanka Chopra,7,Anil Sharma,0,2
tt0248126,Kabhi Khushi Kabhie Gham...,2001,14-Dec-01,Drama | Musical | Romance,Karan Johar | Sheena Parikh (screenplay),380,Kareena Kapoor,8,Farhan Akhtar,0,8
tt0248216,Na Tum Jaano Na Hum,2002,10-May-02,Comedy | Drama | Musical,Pratibha Acharya (dialogue) | Arjun Sablok,381,Ranbir Kapoor,9,Siddharth Anand,0,1
tt0248617,Yaadein...,2001,27-Jun-01,Musical | Drama | Romance,Subhash Ghai (dialogue) | Subhash Ghai (screenplay) | Amrik Gill (dialogue) | Aatish Kapadia (screenplay) | Anuradha Tiwari (screenplay),382,Kajol,10,Anees Bazmee,0,2
tt0255713,Zubeidaa,2001,19-Jan-01,Adventure | Biography | Drama,Khalid Mohamed (original story and screenplay) | Javed Siddiqui (dialogue),383,John Abraham,11,Prabhudheva,0,1
tt0256692,Chori Chori Chupke Chupke,2001,9-Mar-01,Drama | Musical | Romance,Shyam Goel (screenplay) | Javed Siddiqui (dialogue) | Neeraj Vora (story),384,Amitabh Bachchan,12,Shaad Ali,0,5
tt0265148,Main Prem Ki Diwani Hoon,2003,27-Jun-03,Musical | Drama | Romance,Sooraj R. Barjatya,385,Sonakshi Sinha,13,Anurag Basu,0,2
tt0265452,Officer,2001,14-Mar-01,Action | Crime | Drama,Naeem Sha (dialogue) | Naeem Sha (screenplay) | Naeem Sha (story),386,Alia Bhatt,14,Mohit Suri,0,2
tt0267363,Chandni Bar,2001,28-Sep-01,Crime | Drama,Mohan Azaad (dialogue) | Mohan Azaad (screenplay) | Madhur Bhandarkar | Masud Mirza (dialogue),387,Ajay Devgn,15,Sanjay Leela Bhansali,0,5
tt0271604,Kuch Khatti Kuch Meethi,2001,19-Jan-01,Drama | Family,N/A,388,Asin,16,Imtiaz Ali,0,2
tt0272543,Censor,2001,14-Feb-01,Musical | Romance,Dev Anand,389,Farhan Akhtar,17,Mani Ratnam,0,1
tt0272607,Farz,2001,12-Jan-01,Action,N/A,390,Arjun Kapoor,18,David Dhawan,0,4
tt0272735,Mujhe Meri Biwi Se Bachaao,2001,18-Jun-01,Comedy | Musical | Family,Harry Baweja (story) | Anees Bazmee (screenplay) | Imtiaz Patel (dialogue),391,Akshay Kumar,19,Aanand Rai,0,1
tt0272736,Mujhse Dosti Karoge!,2002,9-Aug-02,Musical | Romance | Drama,Aditya Chopra | Kunal Kohli,392,Anushka Sharma,20,Ashwani Dhir,0,2
tt0273164,Daman: A Victim of Marital Violence,2001,4-May-01,Drama | Family,Kalpana Lajmi,393,Vidya Balan,21,Raj Kumar Gupta,0,1
tt0273406,Aashiq,2001,26-Jan-01,Action | Comedy | Drama,Rajeev Kaul,394,Aishwarya Rai Bachchan,22,Rakeysh Omprakash Mehra,0,3
tt0273535,Dil Ne Phir Yaad Kiya,2001,N/A,Drama | Musical | Romance,N/A,395,Ranveer Singh,23,Sanjay Gadhvi,0,1
tt0274019,Pyaar Diwana Hota Hai,2002,26-Apr-02,Romance,S.M. Ahale (screenplay) | Shashi (story) | Javed Siddiqui (dialogue),396,Vir Das,24,Indra Kumar,0,1
tt0275381,Grahan,2001,16-Feb-01,Drama | Romance,N/A,397,Shahid Kapoor,25,Kunal Deshmukh,0,1
tt0277981,Rahul,2001,23-Mar-01,Drama,Farhan (dialogue) | Farhan (screenplay) | Anuradha Tiwari (screenplay),398,Saif Ali Khan,26,Kunal Kohli,0,1
tt0278291,Ajnabee,2001,21-Sep-01,Crime | Mystery | Thriller,Robin Bhatt (screenplay) | Sanjeev Duggal (screenplay) | Shyam Goel (dialogue) | Shyam Goel (screenplay) | Neeraj Vora (screenplay) | Neeraj Vora (story),399,Anil Kapoor,27,Abhishek Kapoor,0,4
tt0278522,Jodi No.1,2001,13-Apr-01,Comedy,Rumi Jaffery (dialogue) | Imtiaz Patel (screenplay) | Yunus Sajawal (screenplay),400,Prakash Raj,28,N. Chandra,0,6
tt0279021,Chhupa Rustam: A Musical Thriller,2001,25-Apr-01,Crime | Drama | Romance,Rajeev Kaul,401,Sonam Kapoor,29,Priyadarshan,0,3
tt0280720,The Guru,2002,14-Feb-03,Comedy | Fantasy | Music,Tracey Jackson,402,Sanjay Kapoor,30,Shoojit Sircar,0,1
tt0281102,Pyaar Tune Kya Kiya...,2001,27-Apr-01,Thriller,Rajat Mukherjee (screenplay),403,Jacqueline Fernandez,31,Ashutosh Gowariker,0,3
